0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,-5,-5,-16,-4,-3,33,-11,18,-20,-6,-6,24,-4,18,16,25,5,-3
-5,0,-2,4,2,15,-2,-7,5,-8,-10,4,-3,-7,-2,6,7,2,0
-5,-2,0,8,15,7,1,6,-10,0,11,2,10,12,-3,-1,-6,14,-20
-16,4,8,0,11,-2,-13,14,-18,10,11,18,-7,10,-3,-21,-19,3,-8
-4,2,15,11,0,11,6,4,4,7,3,5,11,9,13,6,-1,13,-6
-3,15,7,-2,11,0,3,0,6,-5,2,-2,4,7,3,17,1,4,-14
33,-2,1,-13,6,3,0,-5,12,-14,0,-6,30,1,12,22,25,11,-8
-11,-7,6,14,4,0,-5,0,-23,10,21,8,-6,18,-5,-21,-18,10,-19
18,5,-10,-18,4,6,12,-23,0,-21,-24,-8,7,-19,15,17,24,-5,20
-20,-8,0,10,7,-5,-14,10,-21,0,7,4,-15,4,-6,-20,-27,-2,-7
-6,-10,11,11,3,2,0,21,-24,7,0,5,-1,23,-5,-16,-13,10,-22
-6,4,2,18,5,-2,-6,8,-8,4,5,0,-3,4,2,-14,-9,5,2
24,-3,10,-7,11,4,30,-6,7,-15,-1,-3,0,1,7,23,26,7,-11
-4,-7,12,10,9,7,1,18,-19,4,23,4,1,0,0,-10,-8,12,-19
18,-2,-3,-3,13,3,12,-5,15,-6,-5,2,7,0,0,9,7,6,5
16,6,-1,-21,6,17,22,-21,17,-20,-16,-14,23,-10,9,0,22,-5,2
25,7,-6,-19,-1,1,25,-18,24,-27,-13,-9,26,-8,7,22,0,2,3
5,2,14,3,13,4,11,10,-5,-2,10,5,7,12,6,-5,2,0,-12
-3,0,-20,-8,-6,-14,-8,-19,20,-7,-22,2,-11,-19,5,2,3,-12,0
